file,merchant,date,receipt_number,item_count,subtotal,discount,tax,total,payment_method,confidence,warning_count,warnings
0.jpg,WAL*MART,08/20/10,5748,2,5.11,0.57,,5.11,CASH,1.0,1,Extracted item totals do not reconcile with the detected subtotal.
0.jpg,WAL*MART,08/20/10,5748,2,5.11,0.57,,5.11,CASH,1.0,1,Extracted item totals do not reconcile with the detected subtotal.
1.jpg,TRADER JOE'S,06-28-2014,,19,38.68,,,40.0,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
1.jpg,TRADER JOE'S,06-28-2014,,19,38.68,,,40.0,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
10.jpg,SPAR,23.02.21,,15,,,119.48,338.16,,1.0,0,
10.jpg,SPAR,23.02.21,,15,,,119.48,338.16,,1.0,0,
11.jpg,WHOLE,,,14,,,,,,1.0,1,Receipt total could not be confidently identified.
11.jpg,WHOLE,,,14,,,,,,1.0,1,Receipt total could not be confidently identified.
12.jpg,WAL*MART,10/20/07,2600,2,7.59,,0.54,18.75,,1.0,1,"Subtotal, discount, tax and total do not reconcile."
12.jpg,WAL*MART,10/20/07,2600,2,7.59,,0.54,18.75,,1.0,1,"Subtotal, discount, tax and total do not reconcile."
13.jpg,/L.1SWOY8KCW,08/11/17,07142,1,,,,50.0,CASH,1.0,0,
13.jpg,/L.1SWOY8KCW,08/11/17,07142,1,,,,50.0,CASH,1.0,0,
14.jpg,to win 1000,05/04/17,for,2,1.25,,7.0,26.6,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
14.jpg,to win 1000,05/04/17,for,2,1.25,,7.0,26.6,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
15.jpg,to win 1000,07/22/16,ID-586205139884060,1,12.58,,,12.58,VISA,1.0,0,
15.jpg,to win 1000,07/22/16,ID-586205139884060,1,12.58,,,12.58,VISA,1.0,0,
16.jpg,See back of receipt for your chance,11/13/17,for,3,,,1.15,23.19,DEBIT,1.0,0,
16.jpg,See back of receipt for your chance,11/13/17,for,3,,,1.15,23.19,DEBIT,1.0,0,
17.jpg,See back of recelpt for your chance,01/15/17,03080,8,1.07,,7.9,38.68,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
17.jpg,See back of recelpt for your chance,01/15/17,03080,8,1.07,,7.9,38.68,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
18.jpg,Give us feedback survey.walmart.com,10/31/21,03347,16,82.75,,7.0,86.35,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
18.jpg,Give us feedback survey.walmart.com,10/31/21,03347,16,82.75,,7.0,86.35,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
19.jpg,Thank you ID 7QDRJJ99F3X,10/16/21,00859,3,34.0,,1.05,35.05,CARD,1.0,1,Extracted item totals do not reconcile with the detected subtotal.
19.jpg,Thank you ID 7QDRJJ99F3X,10/16/21,00859,3,34.0,,1.05,35.05,CARD,1.0,1,Extracted item totals do not reconcile with the detected subtotal.
2.jpg,Give us feedback survey.walmart.com,10/18/20,02527,3,46.44,,7.75,49.9,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
2.jpg,Give us feedback survey.walmart.com,10/18/20,02527,3,46.44,,7.75,49.9,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
20.png,DOLLAR TREE,9/17/22,,1,1.44,,25.44,25.44,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
20.png,DOLLAR TREE,9/17/22,,1,1.44,,25.44,25.44,DEBIT,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
21.jpg,Dollar TreeE STOres INC.,2/20/14,,1,10.0,,,10.21,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
21.jpg,Dollar TreeE STOres INC.,2/20/14,,1,10.0,,,10.21,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
3.jpg,See back of receipt for your chance,5.88-0,for,27,139.44,,7.0,144.02,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
3.jpg,See back of receipt for your chance,5.88-0,for,27,139.44,,7.0,144.02,CASH,1.0,2,"Extracted item totals do not reconcile with the detected subtotal. | Subtotal, discount, tax and total do not reconcile."
4.jpg,Walmart,12/08/15,01965,1,6.94,,7.0,7.43,DEBIT,1.0,1,"Subtotal, discount, tax and total do not reconcile."
4.jpg,Walmart,12/08/15,01965,1,6.94,,7.0,7.43,DEBIT,1.0,1,"Subtotal, discount, tax and total do not reconcile."
5.jpg,WHOLE FOODS,9/15/2020,,4,28.28,,,,VISA,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
5.jpg,WHOLE FOODS,9/15/2020,,4,28.28,,,,VISA,1.0,2,Receipt total could not be confidently identified. | Extracted item totals do not reconcile with the detected subtotal.
