receipt_id,source_image,merchant,receipt_date,receipt_number,subtotal,discount,tax,total,payment_method,item_count,ocr_confidence,extraction_confidence,warning_count
0,0.jpg,WAL*MART,08/20/10,,5.11,0.57,,5.11,CASH,0,0.97,0.802,1
1,1.jpg,TRADER JOE'S,06-28-2014,,38.68,,,40.0,CASH,1,0.998,0.899,0
10,10.jpg,SPAR,23.02.21,,,,0.0,338.16,,0,0.99,0.751,1
11,11.jpg,WHOLE,,,,,,,,1,0.945,0.535,2
12,12.jpg,WAL*MART,10/20/07,,7.59,,0.76,18.75,,0,0.99,0.82,1
13,13.jpg,/L.1SWOY8KCW,08/11/17,,,,,50.0,CASH,0,0.975,0.734,1
14,14.jpg,See back of receipt for your chaince,05/04/17,for,1.25,,26.6,26.6,DEBIT CARD,0,0.985,0.908,1
15,15.jpg,See back of receipt for your,07/22/16,for,12.58,,,12.58,VISA,0,0.976,0.854,1
16,16.jpg,See back of receipt for your chance,11/13/17,for,21.74,,1.15,23.19,DEBIT CARD,0,0.989,0.91,1
17,17.jpg,See back of recelpt for your chance,01/15/17,,36.35,,1.07,38.68,CASH,0,0.977,0.855,1
18,18.jpg,863-318-0752 Mgr:MARK,10/31/21,,82.75,,82.75,86.35,DEBIT CARD,0,0.979,0.856,1
19,19.jpg,Mgr:EURIEL,10/16/21,,3.61,,1.05,1.05,CARD,0,0.992,0.861,1
2,2.jpg,949-498-6669 Mgr:MICHAEL,10/18/20,,46.44,,3.46,49.9,DEBIT CARD,0,0.98,0.856,1
20,20.png,DOLLAR TREE,9/17/22,,24.0,,1.44,25.44,DEBIT CARD,1,0.988,0.944,0
21,21.jpg,"Dollar TreeE STOres, INC.",2/20/14,,10.0,,0.21,10.21,CASH,1,0.984,0.943,0
3,3.jpg,See back of receipt for your chance,5.88-0,for,139.44,,4.58,144.02,CASH,2,0.981,0.992,0
4,4.jpg,Save money. Live better.,12/08/15,,6.94,,6.94,0.49,DEBIT CARD,0,0.978,0.855,1
5,5.jpg,WHOLE FOODS,9/15/2020,,28.28,,,28.28,VISA,1,0.972,0.887,0
6,6.JPG,MOMI&TOY'S,26/01/2015,,,,,,CASH,0,0.982,0.612,2
7,7.jpg,See back of receipt for your chance,11/13/17,for,21.74,,1.15,23.19,DEBIT CARD,0,0.989,0.91,1
